m6,m5,m4,m3,m2,m1,n
32.097,32.252,31.793,31.62,32.078,32.036,31.745
32.252,31.793,31.62,32.078,32.036,31.745,31.842
31.793,31.62,32.078,32.036,31.745,31.842,32.342
31.62,32.078,32.036,31.745,31.842,32.342,32.274
32.078,32.036,31.745,31.842,32.342,32.274,30.881
32.036,31.745,31.842,32.342,32.274,30.881,31.152
31.745,31.842,32.342,32.274,30.881,31.152,32.06
31.842,32.342,32.274,30.881,31.152,32.06,31.686
32.342,32.274,30.881,31.152,32.06,31.686,32.267
32.274,30.881,31.152,32.06,31.686,32.267,32.627
30.881,31.152,32.06,31.686,32.267,32.627,32.55
31.152,32.06,31.686,32.267,32.627,32.55,32.513
32.06,31.686,32.267,32.627,32.55,32.513,32.907
31.686,32.267,32.627,32.55,32.513,32.907,32.701
32.267,32.627,32.55,32.513,32.907,32.701,32.394
32.627,32.55,32.513,32.907,32.701,32.394,33.215
32.55,32.513,32.907,32.701,32.394,33.215,32.957
32.513,32.907,32.701,32.394,33.215,32.957,33.379
32.907,32.701,32.394,33.215,32.957,33.379,34.116
32.701,32.394,33.215,32.957,33.379,34.116,34.146
32.394,33.215,32.957,33.379,34.116,34.146,34.168
33.215,32.957,33.379,34.116,34.146,34.168,34.013
32.957,33.379,34.116,34.146,34.168,34.013,33.71
33.379,34.116,34.146,34.168,34.013,33.71,34.402
34.116,34.146,34.168,34.013,33.71,34.402,33.254
34.146,34.168,34.013,33.71,34.402,33.254,33.734
34.168,34.013,33.71,34.402,33.254,33.734,32.783
34.013,33.71,34.402,33.254,33.734,32.783,32.932
33.71,34.402,33.254,33.734,32.783,32.932,33.088
34.402,33.254,33.734,32.783,32.932,33.088,33.104
33.254,33.734,32.783,32.932,33.088,33.104,33.348
33.734,32.783,32.932,33.088,33.104,33.348,32.99
32.783,32.932,33.088,33.104,33.348,32.99,33.754
32.932,33.088,33.104,33.348,32.99,33.754,32.329
33.088,33.104,33.348,32.99,33.754,32.329,32.272
